Chat,Label
"You are completely useless, why even bother playing?",Toxic
How can someone be so bad at this game? Just quit.,Toxic
You are literally throwing the game for the team.,Toxic
"Stop feeding, we cannot win if you keep messing up.",Toxic
I do not know why I am even trying with players like you.,Toxic
"You are ruining this game for everyone, just go away.",Toxic
How did you mess that up? Just stop playing.,Toxic
"You have fed them the entire game, it is embarrassing.",Toxic
"Just uninstall, you are clearly not good enough for this.",Toxic
"You cannot even play this game, just quit already.",Toxic
Why are you even here? You are dragging the team down.,Toxic
"Nice job feeding them, now we are definitely losing.",Toxic
Why do I have to carry you every game? Just play better.,Toxic
I cannot believe how bad you are. Just stop.,Toxic
"You have lost us this game, it is over because of you.",Toxic
Stop feeding and actually try to play the game.,Toxic
"You are completely useless, you are just wasting our time.",Toxic
How are you this bad at the game? You are so disappointing.,Toxic
"If you continue like this, we are going to lose for sure.",Toxic
You are the reason we are losing. Just stop playing.,Toxic
Why do you even play ranked if you are this bad?,Toxic
"You have fed them again, it is over now.",Toxic
"Just go away, you are the reason we are losing.",Toxic
"Stop trying to make plays, you are just messing up.",Toxic
"We cannot win with you playing like this, you are a burden.",Toxic
You are literally the worst player I have ever seen.,Toxic
"Every time you play, it is like we have one less person.",Toxic
"I wish you would just quit this game, you are so bad.",Toxic
"Nice job, you just fed them the win.",Toxic
You are the worst player on the team by far.,Toxic
We should have won if you did not keep messing up.,Toxic
This is impossible to win with someone like you on the team.,Toxic
"You are such a waste of space, just stop.",Toxic
"I cannot carry you anymore, you have fed them the game.",Toxic
"You are literally making us lose, just stop playing.",Toxic
Why even play if you are going to throw the game?,Toxic
"You cannot play a single champion properly, just quit.",Toxic
"Every time you die, it is another step toward losing.",Toxic
Can you stop throwing the game for once?,Toxic
I do not even know why I try with you on my team.,Toxic
"You should just stay away, you are not helping anyone.",Toxic
"You are literally feeding them, we cannot win anymore.",Toxic
Can you stop playing like a noob for once?,Toxic
It is embarrassing to play with someone this bad.,Toxic
"You keep dying, this game is over now.",Toxic
"Just give up, you have already lost us the game.",Toxic
"You are wasting our time, just stop playing.",Toxic
"It is over because of you, just go away.",Toxic
"Stop trolling, you are the reason we are losing.",Toxic
"You keep making terrible plays, this game is done.",Toxic
"I am carrying you, but it is not enough with you feeding.",Toxic
How can you be this bad at the game? It is ridiculous.,Toxic
This is impossible to win with you on the team.,Toxic
"Stop making it worse, you are the reason we are losing.",Toxic
Can you just stop feeding and play better?,Toxic
"You have lost this game for us, just stop playing.",Toxic
"Stop throwing the game, you are ruining it for everyone.",Toxic
Why do you keep dying? You are the reason we are losing.,Toxic
"You are making us lose, stop feeding.",Toxic
"Just quit, you are literally throwing the game.",Toxic
"You cannot play at all, it is embarrassing.",Toxic
"Just stop playing, you are dragging the whole team down.",Toxic
"You are so bad, it is painful to play with you.",Toxic
Can you stop feeding for once? This is frustrating.,Toxic
"You have cost us the game again, just stop.",Toxic
"You cannot even play a basic champion, just quit.",Toxic
I do not know how you mess up so badly every time.,Toxic
"You are costing us this game, stop playing.",Toxic
I cannot believe how bad you are at this game.,Toxic
"You are throwing everything away, just stop.",Toxic
This game was ours until you started messing up.,Toxic
"Please stop feeding, you are literally throwing.",Toxic
"You are the reason we cannot win, stop feeding.",Toxic
"Just give up, you have ruined this game for everyone.",Toxic
"You are completely useless, why even bother playing?",Toxic
How can someone be so bad at this game? Just quit.,Toxic
You are literally throwing the game for the team.,Toxic
"Stop feeding, we cannot win if you keep messing up.",Toxic
I do not know why I am even trying with players like you.,Toxic
"You are ruining this game for everyone, just go away.",Toxic
How did you mess that up? Just stop playing.,Toxic
"You have fed them the entire game, it is embarrassing.",Toxic
"Just uninstall, you are clearly not good enough for this.",Toxic
"You cannot even play this game, just quit already.",Toxic
Why are you even here? You are dragging the team down.,Toxic
"Nice job feeding them, now we are definitely losing.",Toxic
Why do I have to carry you every game? Just play better.,Toxic
I cannot believe how bad you are. Just stop.,Toxic
"You have lost us this game, it is over because of you.",Toxic
Stop feeding and actually try to play the game.,Toxic
"You are completely useless, you are just wasting our time.",Toxic
How are you this bad at the game? You are so disappointing.,Toxic
"If you continue like this, we are going to lose for sure.",Toxic
You are the reason we are losing. Just stop playing.,Toxic
Why do you even play ranked if you are this bad?,Toxic
"You have fed them again, it is over now.",Toxic
"Just go away, you are the reason we are losing.",Toxic
"Stop trying to make plays, you are just messing up.",Toxic
"We cannot win with you playing like this, you are a burden.",Toxic
You are literally the worst player I have ever seen.,Toxic
"Every time you play, it is like we have one less person.",Toxic
"I wish you would just quit this game, you are so bad.",Toxic
"Nice job, you just fed them the win.",Toxic
You are the worst player on the team by far.,Toxic
We should have won if you did not keep messing up.,Toxic
This is impossible to win with someone like you on the team.,Toxic
"You are such a waste of space, just stop.",Toxic
"I cannot carry you anymore, you have fed them the game.",Toxic
"You are literally making us lose, just stop playing.",Toxic
Why even play if you are going to throw the game?,Toxic
"You cannot play a single champion properly, just quit.",Toxic
"Every time you die, it is another step toward losing.",Toxic
Can you stop throwing the game for once?,Toxic
I do not even know why I try with you on my team.,Toxic
"You should just stay away, you are not helping anyone.",Toxic
"You are literally feeding them, we cannot win anymore.",Toxic
Can you stop playing like a noob for once?,Toxic
It is embarrassing to play with someone this bad.,Toxic
"You keep dying, this game is over now.",Toxic
"Just give up, you have already lost us the game.",Toxic
"You are wasting our time, just stop playing.",Toxic
"It is over because of you, just go away.",Toxic
"Stop trolling, you are the reason we are losing.",Toxic
"You keep making terrible plays, this game is done.",Toxic
"I am carrying you, but it is not enough with you feeding.",Toxic
How can you be this bad at the game? It is ridiculous.,Toxic
This is impossible to win with you on the team.,Toxic
"Stop making it worse, you are the reason we are losing.",Toxic
Can you just stop feeding and play better?,Toxic
"You have lost this game for us, just stop playing.",Toxic
"Stop throwing the game, you are ruining it for everyone.",Toxic
Why do you keep dying? You are the reason we are losing.,Toxic
"You are making us lose, stop feeding.",Toxic
"Just quit, you are literally throwing the game.",Toxic
"You cannot play at all, it is embarrassing.",Toxic
"Just stop playing, you are dragging the whole team down.",Toxic
"You are so bad, it is painful to play with you.",Toxic
Can you stop feeding for once? This is frustrating.,Toxic
"You have cost us the game again, just stop.",Toxic
"You cannot even play a basic champion, just quit.",Toxic
I do not know how you mess up so badly every time.,Toxic
"You are costing us this game, stop playing.",Toxic
I cannot believe how bad you are at this game.,Toxic
"You are throwing everything away, just stop.",Toxic
This game was ours until you started messing up.,Toxic
"Please stop feeding, you are literally throwing.",Toxic
"You are the reason we cannot win, stop feeding.",Toxic
"Just give up, you have ruined this game for everyone.",Toxic
"You are completely useless, why even bother playing?",Toxic
How can someone be so bad at this game? Just quit.,Toxic
You are literally throwing the game for the team.,Toxic
"Stop feeding, we cannot win if you keep messing up.",Toxic
I do not know why I am even trying with players like you.,Toxic
"You are ruining this game for everyone, just go away.",Toxic
How did you mess that up? Just stop playing.,Toxic
"You have fed them the entire game, it is embarrassing.",Toxic
"Just uninstall, you are clearly not good enough for this.",Toxic
"You cannot even play this game, just quit already.",Toxic
Why are you even here? You are dragging the team down.,Toxic
"Nice job feeding them, now we are definitely losing.",Toxic
Why do I have to carry you every game? Just play better.,Toxic
I cannot believe how bad you are. Just stop.,Toxic
"You have lost us this game, it is over because of you.",Toxic
Stop feeding and actually try to play the game.,Toxic
"You are completely useless, you are just wasting our time.",Toxic
How are you this bad at the game? You are so disappointing.,Toxic
"If you continue like this, we are going to lose for sure.",Toxic
You are the reason we are losing. Just stop playing.,Toxic
Why do you even play ranked if you are this bad?,Toxic
"You have fed them again, it is over now.",Toxic
"Just go away, you are the reason we are losing.",Toxic
"Stop trying to make plays, you are just messing up.",Toxic
"We cannot win with you playing like this, you are a burden.",Toxic
You are literally the worst player I have ever seen.,Toxic
"Every time you play, it is like we have one less person.",Toxic
"I wish you would just quit this game, you are so bad.",Toxic
"Nice job, you just fed them the win.",Toxic
You are the worst player on the team by far.,Toxic
We should have won if you did not keep messing up.,Toxic
This is impossible to win with someone like you on the team.,Toxic
"You are such a waste of space, just stop.",Toxic
"I cannot carry you anymore, you have fed them the game.",Toxic
"You are literally making us lose, just stop playing.",Toxic
Why even play if you are going to throw the game?,Toxic
"You cannot play a single champion properly, just quit.",Toxic
"Every time you die, it is another step toward losing.",Toxic
Can you stop throwing the game for once?,Toxic
I do not even know why I try with you on my team.,Toxic
"You should just stay away, you are not helping anyone.",Toxic
"You are literally feeding them, we cannot win anymore.",Toxic
Can you stop playing like a noob for once?,Toxic
It is embarrassing to play with someone this bad.,Toxic
"You keep dying, this game is over now.",Toxic
"Just give up, you have already lost us the game.",Toxic
"You are wasting our time, just stop playing.",Toxic
"It is over because of you, just go away.",Toxic
"Stop trolling, you are the reason we are losing.",Toxic
"You keep making terrible plays, this game is done.",Toxic
"I am carrying you, but it is not enough with you feeding.",Toxic
How can you be this bad at the game? It is ridiculous.,Toxic
This is impossible to win with you on the team.,Toxic
"Stop making it worse, you are the reason we are losing.",Toxic
Can you just stop feeding and play better?,Toxic
"You have lost this game for us, just stop playing.",Toxic
"Stop throwing the game, you are ruining it for everyone.",Toxic
Why do you keep dying? You are the reason we are losing.,Toxic
"You are making us lose, stop feeding.",Toxic
"Just quit, you are literally throwing the game.",Toxic
"You cannot play at all, it is embarrassing.",Toxic
"Just stop playing, you are dragging the whole team down.",Toxic
"You are so bad, it is painful to play with you.",Toxic
Can you stop feeding for once? This is frustrating.,Toxic
"You have cost us the game again, just stop.",Toxic
"You cannot even play a basic champion, just quit.",Toxic
I do not know how you mess up so badly every time.,Toxic
"You are costing us this game, stop playing.",Toxic
I cannot believe how bad you are at this game.,Toxic
"You are throwing everything away, just stop.",Toxic
This game was ours until you started messing up.,Toxic
"Please stop feeding, you are literally throwing.",Toxic
"You are the reason we cannot win, stop feeding.",Toxic
"Just give up, you have ruined this game for everyone.",Toxic
"You are completely useless, why even bother playing?",Toxic
How can someone be so bad at this game? Just quit.,Toxic
You are literally throwing the game for the team.,Toxic
"Stop feeding, we cannot win if you keep messing up.",Toxic
I do not know why I am even trying with players like you.,Toxic
"You are ruining this game for everyone, just go away.",Toxic
How did you mess that up? Just stop playing.,Toxic
"You have fed them the entire game, it is embarrassing.",Toxic
"Just uninstall, you are clearly not good enough for this.",Toxic
"You cannot even play this game, just quit already.",Toxic
Why are you even here? You are dragging the team down.,Toxic
"Nice job feeding them, now we are definitely losing.",Toxic
Why do I have to carry you every game? Just play better.,Toxic
I cannot believe how bad you are. Just stop.,Toxic
"You have lost us this game, it is over because of you.",Toxic
Stop feeding and actually try to play the game.,Toxic
"You are completely useless, you are just wasting our time.",Toxic
How are you this bad at the game? You are so disappointing.,Toxic
"If you continue like this, we are going to lose for sure.",Toxic
You are the reason we are losing. Just stop playing.,Toxic
Why do you even play ranked if you are this bad?,Toxic
"You have fed them again, it is over now.",Toxic
"Just go away, you are the reason we are losing.",Toxic
"Stop trying to make plays, you are just messing up.",Toxic
"We cannot win with you playing like this, you are a burden.",Toxic
You are literally the worst player I have ever seen.,Toxic
"Every time you play, it is like we have one less person.",Toxic
"Good job on that last team fight!",Non-toxic
"Let's focus on objectives and work together.",Non-toxic
"Nice ward placement, that helped us a lot.",Non-toxic
"I'll help you with that lane, just ping when you need assistance.",Non-toxic
"Great vision control in the jungle.",Non-toxic
"Let's try to coordinate our ultimates better next time.",Non-toxic
"Good farming, keep it up!",Non-toxic
"Nice save with that shield!",Non-toxic
"Let's group up for the next objective.",Non-toxic
"Your map awareness is really good.",Non-toxic
"Great job on the dragon control.",Non-toxic
"Let's try to maintain our lead.",Non-toxic
"Nice rotation to help with that gank.",Non-toxic
"Good communication on the team fights.",Non-toxic
"Let's focus on our strengths.",Non-toxic
"Nice timing on that engage.",Non-toxic
"Good job on the wave management.",Non-toxic
"Let's try to secure more vision.",Non-toxic
"Great job on the objective control.",Non-toxic
"Nice positioning in that team fight.",Non-toxic
"Let's work on our team composition.",Non-toxic
"Good job on the split pushing.",Non-toxic
"Nice job on the counter-jungling.",Non-toxic
"Let's try to coordinate our engages better.",Non-toxic
"Great job on the lane pressure.",Non-toxic
"Nice job on the objective timing.",Non-toxic
"Let's focus on our macro play.",Non-toxic
"Good job on the wave control.",Non-toxic
"Nice job on the vision denial.",Non-toxic
"Let's try to improve our team fighting.",Non-toxic
"Great job on the map pressure.",Non-toxic
"Nice job on the objective trading.",Non-toxic
"Let's work on our early game.",Non-toxic
"Good job on the lane management.",Non-toxic
"Nice job on the team coordination.",Non-toxic
"Let's try to improve our vision game.",Non-toxic
"Great job on the objective control.",Non-toxic
"Nice job on the wave manipulation.",Non-toxic
"Let's focus on our team synergy.",Non-toxic
"Good job on the map awareness.",Non-toxic
"Nice job on the objective priority.",Non-toxic
"Let's work on our communication.",Non-toxic
"Great job on the lane pressure.",Non-toxic
"Nice job on the team fighting.",Non-toxic
"Let's try to improve our macro.",Non-toxic
"Good job on the vision control.",Non-toxic
"Nice job on the objective timing.",Non-toxic
"Let's focus on our strengths.",Non-toxic
"Great job on the wave management.",Non-toxic
"Nice job on the team coordination.",Non-toxic
"Let's try to improve our early game.",Non-toxic
"Good job on the map pressure.",Non-toxic
"Nice job on the objective control.",Non-toxic
"Let's work on our team fighting.",Non-toxic
"Great job on the vision game.",Non-toxic
"Nice job on the wave control.",Non-toxic
"Let's focus on our macro play.",Non-toxic
"Good job on the lane management.",Non-toxic
"Nice job on the team synergy.",Non-toxic
"Let's try to improve our communication.",Non-toxic
"Great job on the objective priority.",Non-toxic
"Nice job on the map awareness.",Non-toxic
"Let's work on our early game.",Non-toxic
"Good job on the team coordination.",Non-toxic
"Nice job on the vision control.",Non-toxic
"Let's focus on our strengths.",Non-toxic
"Great job on the wave management.",Non-toxic
"Nice job on the objective timing.",Non-toxic
"Let's try to improve our macro.",Non-toxic
"Good job on the lane pressure.",Non-toxic
"Nice job on the team fighting.",Non-toxic
"Let's work on our communication.",Non-toxic
"Great job on the map pressure.",Non-toxic
"Nice job on the objective control.",Non-toxic
"Let's focus on our team synergy.",Non-toxic
"Good job on the vision game.",Non-toxic
"Nice job on the wave control.",Non-toxic
"Let's try to improve our early game.",Non-toxic
"Great job on the lane management.",Non-toxic
"Nice job on the team coordination.",Non-toxic
"Let's work on our macro play.",Non-toxic
"Good job on the objective priority.",Non-toxic
"Nice job on the map awareness.",Non-toxic
"Let's focus on our strengths.",Non-toxic
"Great job on the wave management.",Non-toxic
"Nice job on the team fighting.",Non-toxic
"Let's try to improve our communication.",Non-toxic
"Good job on the vision control.",Non-toxic
"Nice job on the objective timing.",Non-toxic
"Let's work on our early game.",Non-toxic
"Great job on the lane pressure.",Non-toxic
"Nice job on the team synergy.",Non-toxic
"Let's focus on our macro play.",Non-toxic
"Good job on the map pressure.",Non-toxic
"Nice job on the objective control.",Non-toxic
"Let's try to improve our team fighting.",Non-toxic
"Great job on the wave management.",Non-toxic
"Nice job on the vision game.",Non-toxic
"Let's work on our communication.",Non-toxic
"Good job on the lane management.",Non-toxic
"Nice job on the team coordination.",Non-toxic
"Let's focus on our strengths.",Non-toxic
"Great job on the objective priority.",Non-toxic
"Nice job on the map awareness.",Non-toxic
"Let's try to improve our early game.",Non-toxic
"Good job on the wave control.",Non-toxic
"Nice job on the team fighting.",Non-toxic
"Let's work on our macro play.",Non-toxic
"Great job on the vision control.",Non-toxic
"Nice job on the objective timing.",Non-toxic
"Let's focus on our team synergy.",Non-toxic
"Good job on the lane pressure.",Non-toxic
"Nice job on the map pressure.",Non-toxic
"Let's try to improve our communication.",Non-toxic
"Great job on the wave management.",Non-toxic
"Nice job on the team coordination.",Non-toxic
"Let's work on our early game.",Non-toxic
"Good job on the objective control.",Non-toxic
"Nice job on the vision game.",Non-toxic
"Let's focus on our strengths.",Non-toxic
"Great job on the lane management.",Non-toxic
"Nice job on the team fighting.",Non-toxic
"Let's try to improve our macro play.",Non-toxic
"Good job on the map awareness.",Non-toxic
"Nice job on the objective priority.",Non-toxic
"Let's work on our communication.",Non-toxic
"Great job on the wave control.",Non-toxic
"Nice job on the team synergy.",Non-toxic
"Let's focus on our early game.",Non-toxic
"Good job on the vision control.",Non-toxic
"Nice job on the lane pressure.",Non-toxic
"Let's try to improve our team fighting.",Non-toxic
"Great job on the objective timing.",Non-toxic
"Nice job on the map pressure.",Non-toxic
"Let's work on our macro play.",Non-toxic
"Good job on the wave management.",Non-toxic
"Nice job on the team coordination.",Non-toxic
"Let's focus on our strengths.",Non-toxic
"Great job on the vision game.",Non-toxic
"Nice job on the objective control.",Non-toxic
"Let's try to improve our early game.",Non-toxic
"Good job on the lane management.",Non-toxic
"Nice job on the team fighting.",Non-toxic
"Let's work on our communication.",Non-toxic
"Great job on the map awareness.",Non-toxic
"Nice job on the objective priority.",Non-toxic
"Let's focus on our team synergy.",Non-toxic
"Good job on the wave control.",Non-toxic
"Nice job on the vision control.",Non-toxic
"Let's try to improve our macro play.",Non-toxic
"Great job on the lane pressure.",Non-toxic
"Nice job on the team coordination.",Non-toxic
"Let's work on our early game.",Non-toxic
"Good job on the objective timing.",Non-toxic
"Nice job on the map pressure.",Non-toxic
"Let's focus on our strengths.",Non-toxic
"Great job on the wave management.",Non-toxic
"Nice job on the team fighting.",Non-toxic
"Let's try to improve our communication.",Non-toxic
"Good job on the vision game.",Non-toxic
"Nice job on the objective control.",Non-toxic
"Let's work on our macro play.",Non-toxic
"Great job on the lane management.",Non-toxic
"Nice job on the team synergy.",Non-toxic
"Let's focus on our early game.",Non-toxic
"Good job on the map awareness.",Non-toxic
"Nice job on the objective priority.",Non-toxic
"Let's try to improve our team fighting.",Non-toxic
"Great job on the wave control.",Non-toxic
"Nice job on the vision control.",Non-toxic
"Let's work on our communication.",Non-toxic
"Good job on the lane pressure.",Non-toxic
"Nice job on the team coordination.",Non-toxic
"Let's focus on our strengths.",Non-toxic
"Great job on the objective timing.",Non-toxic
"Nice job on the map pressure.",Non-toxic
"Let's try to improve our macro play.",Non-toxic
"Good job on the wave management.",Non-toxic
"Nice job on the team fighting.",Non-toxic
"Let's work on our early game.",Non-toxic
"Great job on the vision game.",Non-toxic
"Nice job on the objective control.",Non-toxic
"Let's focus on our team synergy.",Non-toxic
"Good job on the lane management.",Non-toxic
"Nice job on the map awareness.",Non-toxic
"Let's try to improve our communication.",Non-toxic
"Great job on the objective priority.",Non-toxic
"Nice job on the wave control.",Non-toxic
"Let's work on our macro play.",Non-toxic
"Good job on the vision control.",Non-toxic
"Nice job on the team coordination.",Non-toxic
"Let's focus on our strengths.",Non-toxic
"Great job on the lane pressure.",Non-toxic
"Nice job on the objective timing.",Non-toxic
"Let's try to improve our team fighting.",Non-toxic
"Good job on the map pressure.",Non-toxic
"Nice job on the wave management.",Non-toxic
"Let's work on our early game.",Non-toxic
"Great job on the vision game.",Non-toxic
"Nice job on the team synergy.",Non-toxic
"Let's focus on our communication.",Non-toxic
"Good job on the objective control.",Non-toxic
"Nice job on the lane management.",Non-toxic
"Let's try to improve our macro play.",Non-toxic
"Great job on the map awareness.",Non-toxic
"Nice job on the objective priority.",Non-toxic
"Let's work on our team fighting.",Non-toxic
"Good job on the wave control.",Non-toxic
"Nice job on the vision control.",Non-toxic
"Let's focus on our early game.",Non-toxic
"Great job on the team coordination.",Non-toxic
"Nice job on the lane pressure.",Non-toxic
"Let's try to improve our communication.",Non-toxic
"Good job on the objective timing.",Non-toxic
"Nice job on the map pressure.",Non-toxic
"Let's work on our macro play.",Non-toxic
"Great job on the wave management.",Non-toxic
"Nice job on the team fighting.",Non-toxic
"Let's focus on our strengths.",Non-toxic
"Good job on the vision game.",Non-toxic
"Nice job on the objective control.",Non-toxic
"Let's try to improve our early game.",Non-toxic
"Great job on the lane management.",Non-toxic
"Nice job on the team synergy.",Non-toxic
"Let's work on our communication.",Non-toxic
"Good job on the map awareness.",Non-toxic
"Nice job on the objective priority.",Non-toxic
"Let's focus on our macro play.",Non-toxic
"Great job on the wave control.",Non-toxic
"Nice job on the vision control.",Non-toxic
"Let's try to improve our team fighting.",Non-toxic
"Good job on the team coordination.",Non-toxic
"Nice job on the lane pressure.",Non-toxic
"Let's work on our early game.",Non-toxic
"Great job on the objective timing.",Non-toxic
"Nice job on the map pressure.",Non-toxic
"Let's focus on our communication.",Non-toxic
"Good job on the wave management.",Non-toxic
"Nice job on the team fighting.",Non-toxic
"Let's try to improve our macro play.",Non-toxic
"Great job on the vision game.",Non-toxic
"Nice job on the objective control.",Non-toxic
"Let's work on our team synergy.",Non-toxic
"Good job on the lane management.",Non-toxic
"Nice job on the map awareness.",Non-toxic
"Let's focus on our early game.",Non-toxic
"Great job on the objective priority.",Non-toxic
"Nice job on the wave control.",Non-toxic
"Let's try to improve our communication.",Non-toxic

